County,State,Value
Golden Valley,MT,401.9
Clatsop,OR,402
Windham,CT,402
Morgan,WV,402
Perkins,NE,402.3
Carlton,MN,402.3
Columbia,OR,402.4
Black Hawk,IA,402.4
Boone,IA,402.4
Orange,FL,402.5
Crook,OR,402.5
Mineral,MT,402.5
Pike,PA,402.5
Clark,SD,402.6
Windham,VT,402.6
Schoolcraft,MI,402.6
Madison,NY,402.7
White,GA,402.7
Montgomery,VA,402.7
Montrose,CO,402.9
Jim Hogg,TX,403
Boundary,ID,403.1
Pierce,NE,403.1
Towner,ND,403.1
Garfield,MT,403.2
Pepin,WI,403.5
Juniata,PA,403.7
York,PA,403.8
Yancey,NC,403.8
Passaic,NJ,403.9
San Miguel,NM,403.9
Union,NC,403.9
Berkeley,SC,403.9
Lyman,SD,403.9
Davis,UT,403.9
Val Verde,TX,404
Greene,OH,404
Brown,IN,404.1
Oldham,KY,404.2
Penobscot,ME,404.2
New Castle,DE,404.3
Sutton,TX,404.3
Noble,OH,404.4
Clayton,IA,404.7
Wabaunsee,KS,404.8
Dodge,WI,404.9
Perkins,SD,405
Franklin,VT,405.1
Buchanan,IA,405.1
Pottawatomie,KS,405.2
Cabarrus,NC,405.2
Genesee,NY,405.3
Reno,KS,405.3
Calhoun,IL,405.3
Gray,KS,405.5
Whitman,WA,405.5
Buffalo,WI,405.6
Morgan,UT,405.7
Stillwater,MT,405.7
Washington,ME,405.8
Hillsborough,FL,405.8
Gloucester,VA,405.8
Mifflin,PA,406
Pasco,FL,406
Franklin,PA,406.2
Green Lake,WI,406.2
Cumberland,VA,406.3
Brazos,TX,406.4
Amelia,VA,406.4
Rabun,GA,406.4
Crawford,WI,406.5
Colusa,CA,406.8
Leavenworth,KS,406.8
Toole,MT,406.8
Brunswick,NC,406.9
Buena Vista,IA,407
Lexington,SC,407
McPherson,KS,407.1
Washington,NY,407.2
Person,NC,407.3
Cheyenne,NE,407.3
Jo Daviess,IL,407.3
Grundy,IA,407.4
Kearney,NE,407.4
Kendall,TX,407.4
Sussex,NJ,407.5
Sedgwick,CO,407.5
Beadle,SD,407.8
Wallowa,OR,407.9
Manistee,MI,407.9
Griggs,ND,408.2
Day,SD,408.2
Polk,WI,408.3
Bullitt,KY,408.3
Davie,NC,408.4
Saline,NE,408.5
Keith,NE,408.5
Deuel,NE,408.5
Ferry,WA,408.5
Richland,WI,408.6
Rutland,VT,408.6
Grant,ND,408.6
Caldwell,TX,408.8
Waldo,ME,409
Dubuque,IA,409
Burt,NE,409.1
Morton,ND,409.1
Floyd,VA,409.1
