County,State, Value ,
Tippah,MS, 38.60 ,  
Russell,AL, 38.60 ,  
Winston,AL, 38.60 ,  
Randolph,AR, 38.60 ,  
Gibson,TN, 38.60 ,  
Falls,TX, 38.60 ,  
Charlotte,VA, 38.60 ,  
Scott,VA, 38.60 ,  
Kenedy,TX, 38.70 ,  
Henry,TN, 38.70 ,  
Sevier,AR, 38.70 ,  
Yell,AR, 38.70 ,  
Trinity,CA, 38.70 ,  
Marion,GA, 38.70 ,  
Coffee,GA, 38.70 ,  
Rowan,KY, 38.70 ,  
Dent,MO, 38.70 ,  
Garden,NE, 38.70 ,  
Alcorn,MS, 38.70 ,  
Cleveland,NC, 38.70 ,  
Rutherford,NC, 38.70 ,  
Surry,NC, 38.80 ,  
Duplin,NC, 38.80 ,  
Forest,PA, 38.80 ,  
Hempstead,AR, 38.80 ,  
Donley,TX, 38.80 ,  
Swisher,TX, 38.80 ,  
Greenbrier,WV, 38.80 ,  
Fayette,WV, 38.80 ,  
Terry,TX, 38.90 ,  
Charlton,GA, 38.90 ,  
Liberty,FL, 38.90 ,  
Fleming,KY, 38.90 ,  
Josephine,OR, 38.90 ,  
Jones,NC, 38.90 ,  
Iron,MI, 38.90 ,  
Vernon,MO, 39.00 ,  
Harrison,MO, 39.00 ,  
Swain,NC, 39.00 ,  
Sheridan,ND, 39.00 ,  
Nicholas,KY, 39.00 ,  
Laurens,GA, 39.00 ,  
Lawrence,AR, 39.00 ,  
Trinity,TX, 39.00 ,  
Accomack,VA, 39.00 ,  
Hawkins,TN, 39.00 ,  
Tazewell,VA, 39.00 ,  
Buena Vista,VA, 39.00 ,  
Russell,VA, 39.00 ,  
Childress,TX, 39.10 ,  
Union,SC, 39.10 ,  
Santa Cruz,AZ, 39.10 ,  
Madison,AR, 39.10 ,  
Montgomery,GA, 39.10 ,  
Appanoose,IA, 39.10 ,  
Hardin,IL, 39.10 ,  
Meigs,OH, 39.10 ,  
Cameron,PA, 39.10 ,  
Delaware,OK, 39.10 ,  
Ottawa,OK, 39.20 ,  
Bryan,OK, 39.20 ,  
Scioto,OH, 39.20 ,  
Caldwell,NC, 39.20 ,  
Webster,MS, 39.20 ,  
Crawford,MI, 39.20 ,  
Lincoln,LA, 39.20 ,  
Berrien,GA, 39.20 ,  
Frio,TX, 39.20 ,  
Northampton,VA, 39.30 ,  
Shoshone,ID, 39.30 ,  
Meagher,MT, 39.30 ,  
Lenoir,NC, 39.30 ,  
Big Horn,MT, 39.40 ,  
Scotland,MO, 39.40 ,  
Calloway,KY, 39.40 ,  
Logan,AR, 39.40 ,  
Limestone,TX, 39.40 ,  
Brunswick,VA, 39.40 ,  
Cherokee,TX, 39.40 ,  
Cabell,WV, 39.50 ,  
Del Norte,CA, 39.50 ,  
Walker,AL, 39.50 ,  
Chambers,AL, 39.50 ,  
Crawford,KS, 39.50 ,  
St. Bernard,LA, 39.50 ,  
Carroll,MS, 39.60 ,  
Greene,MS, 39.60 ,  
Simpson,MS, 39.60 ,  
Sequoyah,OK, 39.60 ,  
Gallatin,IL, 39.60 ,  
Marion,FL, 39.60 ,  
Glades,FL, 39.60 ,  
McDuffie,GA, 39.60 ,  
Concho,TX, 39.60 ,  
Piute,UT, 39.70 ,  
Arkansas,AR, 39.70 ,  
St. Francis,AR, 39.70 ,  
Yancey,NC, 39.70 ,  
Greene,NC, 39.70 ,  
Ashe,NC, 39.70 ,  
Lincoln,MS, 39.70 ,  
Aroostook,ME, 39.70 ,  
Iosco,MI, 39.70 ,  
Grant,NM, 39.80 ,  
Grant,ND, 39.80 ,  
White,TN, 39.80 ,  
Unicoi,TN, 39.80 ,  
Grainger,TN, 39.80 ,  
Cochran,TX, 39.90 ,  
Chesterfield,SC, 39.90 ,  
Halifax,VA, 39.90 ,  
La Salle,TX, 39.90 ,  
Lynn,TX, 39.90 ,  
Mineral,MT, 39.90 ,  
Boone,AR, 39.90 ,  
Lemhi,ID, 39.90 ,  
Hendry,FL, 39.90 ,  
Hickman,KY, 39.90 ,  
Smith,KS, 40.00 ,  
Citrus,FL, 40.00 ,  
Tift,GA, 40.00 ,  
Pondera,MT, 40.00 ,  
St. Louis City,MO, 40.00 ,  
San Saba,TX, 40.00 ,  
Chester,SC, 40.00 ,  
Pendleton,WV, 40.00 ,  
Smyth,VA, 40.10 ,  
Hopewell,VA, 40.10 ,  
Comanche,TX, 40.10 ,  
McCulloch,TX, 40.10 ,  
Kimble,TX, 40.10 ,  
Runnels,TX, 40.10 ,  
Reeves,TX, 40.10 ,  
Jim Wells,TX, 40.10 ,  
Roosevelt,MT, 40.10 ,  
Lake,OR, 40.10 ,  
Worth,GA, 40.10 ,  
Franklin,AR, 40.10 ,  
Baxter,AR, 40.10 ,  
Tallapoosa,AL, 40.20 ,  
Prowers,CO, 40.20 ,  
Thomas,GA, 40.20 ,  
Grady,GA, 40.20 ,  
Taylor,FL, 40.20 ,  
Elk,KS, 40.20 ,  
Acadia,LA, 40.20 ,  
